#STEPS          TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        SURF_TENSION    VOLUME          
47000            -5.00214642e+05 -5.40065752e+02  3.86000000e+02  8.87348435e+02  1.79780637e+01  1.30132697e+04
48000            -4.44978656e+05 -3.45230073e+02  3.86000000e+02  8.90184588e+02  2.42982112e+00  1.29720991e+04
49000            -3.28017049e+05  6.93695796e+01  3.86000000e+02  8.99066513e+02  1.22752617e+02  1.28444320e+04
50000            -9.78601596e+04  9.03894977e+02  3.86000000e+02  9.02726596e+02  1.29382168e+02  1.27917395e+04
51000            -4.94545433e+05 -5.28888112e+02  3.86339000e+02  9.07159959e+02  1.73193575e+02  1.27404705e+04
52000            -4.30333312e+05 -2.95563160e+02  3.87000000e+02  9.06054308e+02  1.72748122e+02  1.27777316e+04
53000            -2.20697133e+05  4.66050145e+02  3.87000000e+02  9.16863229e+02  2.42636358e+02  1.26270228e+04
54000            -3.45470099e+05  1.03089013e+01  3.87000000e+02  9.12893503e+02  1.78449752e+02  1.26822188e+04
55000            -6.59951728e+05 -1.12185491e+03  3.87000000e+02  9.16137217e+02  1.68523255e+02  1.26370779e+04
56000            -3.14659859e+05  1.22741478e+02  3.87806000e+02  9.22632255e+02  2.09547051e+02  1.25745195e+04
57000            -1.03498782e+05  9.04982732e+02  3.89000000e+02  9.20354276e+02  1.78117602e+02  1.26442324e+04
58000            -3.20896132e+05  1.06429907e+02  3.89000000e+02  9.18119803e+02  1.51272093e+02  1.26748984e+04
59000            -4.49102633e+05 -3.58350223e+02  3.89000000e+02  9.20092848e+02  1.09973433e+02  1.26478504e+04
60000            -1.80075242e+05  6.22151245e+02  3.89000000e+02  9.16915959e+02  9.36718715e+01  1.26920366e+04
61000            -6.18838707e+05 -9.68689041e+02  3.89611000e+02  9.16866625e+02  1.61237237e+02  1.27127916e+04
62000            -2.14182443e+05  4.99627111e+02  3.90000000e+02  9.25891385e+02  2.24017383e+02  1.26009622e+04
63000            -3.44589843e+05  2.33506067e+01  3.90915000e+02  9.26130555e+02  1.71964243e+02  1.26271113e+04
64000            -3.11250683e+05  1.47976226e+02  3.91000000e+02  9.25403744e+02  1.55347270e+02  1.26399824e+04
65000            -3.09238372e+02  1.28971333e+03  3.91000000e+02  9.24650232e+02  1.07029158e+02  1.26502701e+04
66000            -3.63845464e+05 -4.33303688e+01  3.91000000e+02  9.22920747e+02  6.96876186e+01  1.26738577e+04
67000            -2.51860834e+05  3.65008919e+02  3.91000000e+02  9.24950886e+02  4.43098048e+00  1.26461878e+04
68000            -2.52785041e+05  3.63209433e+02  3.91000000e+02  9.28132373e+02 -5.16574422e+01  1.26030790e+04
69000            -5.96841672e+05 -8.84437847e+02  3.91745000e+02  9.31591351e+02 -7.52243864e+01  1.25799754e+04
70000            -2.84421356e+05  2.50506945e+02  3.92000000e+02  9.32724659e+02 -2.10810637e+01  1.25726396e+04
71000            -3.60525005e+05 -2.81801057e+01  3.92480000e+02  9.27389165e+02 -7.31827696e-01  1.26605322e+04
72000            -3.78160526e+05 -8.90179242e+01  3.93717000e+02  9.32837112e+02  3.69333038e+01  1.26263288e+04
73000            -4.13558940e+05 -2.14952333e+02  3.94000000e+02  9.39073285e+02  5.72402366e+01  1.25516036e+04
74000            -2.17824964e+05  5.03910173e+02  3.94000000e+02  9.41284042e+02 -3.20121815e+01  1.25220103e+04
75000            -4.41386102e+05 -3.16869163e+02  3.94000000e+02  9.37416332e+02 -4.11560867e+01  1.25736240e+04
76000            -1.50216668e+05  7.54642124e+02  3.94243000e+02  9.40248854e+02  1.60722309e+01  1.25436195e+04
77000            -4.70444272e+05 -4.19868277e+02  3.94536000e+02  9.42152993e+02 -2.73759991e+01  1.25281566e+04
78000            -6.00818525e+05 -8.95903358e+02  3.94000000e+02  9.36458492e+02 -1.78127750e+01  1.25866039e+04
79000            -2.63827904e+05  3.34664029e+02  3.94000000e+02  9.42423615e+02 -1.76683726e+00  1.25068964e+04
80000            -5.92994310e+05 -8.70729800e+02  3.94000000e+02  9.43061257e+02 -6.26384328e+00  1.24985797e+04
81000            -2.74094665e+05  2.96942821e+02  3.94000000e+02  9.45382538e+02 -3.67088352e+01  1.24677100e+04
82000            -2.28935918e+05  4.63591192e+02  3.94924000e+02  9.44390705e+02  1.08826151e+02  1.25102848e+04
83000            -4.74237330e+05 -4.34535899e+02  3.95000000e+02  9.44730401e+02  3.37447592e+01  1.25080125e+04
84000            -3.93710313e+05 -1.40154392e+02  3.95000000e+02  9.45833991e+02  1.34179375e+01  1.24934979e+04
85000            -1.08138947e+05  9.18753336e+02  3.95000000e+02  9.47844727e+02  2.87977590e+01  1.24672076e+04
86000            -5.34857107e+05 -6.58520965e+02  3.95000000e+02  9.52848314e+02 -7.11937409e+01  1.24016520e+04
87000            -4.42974206e+05 -3.23227844e+02  3.95431000e+02  9.55196419e+02 -2.57878230e+01  1.23850418e+04
88000            -5.76777519e+05 -8.11371853e+02  3.96720000e+02  9.48055515e+02 -1.19606040e+02  1.25182408e+04
89000            -6.12127162e+05 -9.32992877e+02  3.98000000e+02  9.54300055e+02 -4.88983742e+01  1.24765127e+04
90000            -3.35726731e+05  8.31689271e+01  3.98000000e+02  9.58139221e+02 -6.38867725e+01  1.24266026e+04
91000            -6.65993918e+05 -1.12708792e+03  3.98000000e+02  9.57517555e+02 -5.06594669e-01  1.24348288e+04
92000            -6.19154768e+05 -9.56270894e+02  3.98732000e+02  9.57452290e+02 -6.11862430e+01  1.24591245e+04
93000            -1.71447349e+05  7.00688492e+02  4.00148000e+02  9.59544826e+02 -5.09482456e+01  1.24755643e+04
94000            -5.36344081e+05 -6.42846247e+02  4.01000000e+02  9.62691307e+02 -1.14258574e+02  1.24610712e+04
95000            -2.34369454e+05  4.67689889e+02  4.00267000e+02  9.61386364e+02 -9.94670464e+01  1.24550405e+04
96000            -2.90013636e+05  2.58562406e+02  4.00751000e+02  9.62392013e+02 -5.17934698e+01  1.24570632e+04
97000            -2.98891743e+05  2.29084702e+02  4.01000000e+02  9.64777579e+02 -1.23147133e+02  1.24341141e+04
98000            -3.44627099e+05  6.02323171e+01  4.01000000e+02  9.66574875e+02 -1.47680258e+02  1.24109060e+04
99000            -6.28419819e+05 -9.80971550e+02  4.01000000e+02  9.67938933e+02 -7.11514537e+01  1.23945067e+04
100000           -1.53430248e+05  7.77085888e+02  4.01000000e+02  9.73237652e+02  2.84438230e+00  1.23259666e+04
